date,time,product,device,clicks,clicks_rev
20/06/02,00:00:00,health,mobile,293,882.2147
20/06/02,00:00:00,life,mobile,126,551.4755
20/06/02,00:00:00,medicare,mobile,62,212.1706
20/06/02,00:00:00,life,tablet,2,2.268
20/06/02,00:00:00,medicare,computer,25,145.9052
20/06/02,00:00:00,health,computer,65,165.9418
20/06/02,00:00:00,life,computer,17,104.4968
20/06/02,00:00:00,health,tablet,3,5.6281
20/06/02,00:00:00,medicare,tablet,7,20.6361
20/06/02,01:00:00,health,tablet,5,14.8794
20/06/02,01:00:00,life,mobile,127,501.172
20/06/02,01:00:00,health,mobile,297,828.0372
20/06/02,01:00:00,health,computer,50,151.8637
20/06/02,01:00:00,life,computer,12,103.203
20/06/02,01:00:00,medicare,tablet,7,14.7874
20/06/02,01:00:00,medicare,mobile,52,211.5534
20/06/02,01:00:00,medicare,computer,22,146.9017
20/06/02,01:00:00,life,tablet,14,71.6484
20/06/02,02:00:00,life,mobile,121,454.4577
20/06/02,02:00:00,health,computer,35,130.8313
20/06/02,02:00:00,health,tablet,15,57.2435
20/06/02,02:00:00,medicare,mobile,79,299.256
20/06/02,02:00:00,health,mobile,264,859.1026
20/06/02,02:00:00,life,computer,23,131.488
20/06/02,02:00:00,medicare,computer,27,123.0584
20/06/02,02:00:00,life,tablet,7,16.8285
20/06/02,02:00:00,medicare,tablet,8,28.4199
20/06/02,03:00:00,life,mobile,232,926.3863
20/06/02,03:00:00,medicare,computer,44,270.5192
20/06/02,03:00:00,health,tablet,12,38.595
20/06/02,03:00:00,health,mobile,373,1415.6528
20/06/02,03:00:00,life,tablet,10,38.2686
20/06/02,03:00:00,life,computer,41,391.3955
20/06/02,03:00:00,medicare,tablet,11,45.6426
20/06/02,03:00:00,medicare,mobile,111,448.2094
20/06/02,03:00:00,health,computer,82,285.1766
20/06/02,04:00:00,health,mobile,464,1976.8438
20/06/02,04:00:00,life,mobile,267,1176.9043
20/06/02,04:00:00,health,computer,128,579.3884
20/06/02,04:00:00,medicare,mobile,143,642.8837
20/06/02,04:00:00,medicare,computer,70,472.2872
20/06/02,04:00:00,life,computer,63,437.053
20/06/02,04:00:00,life,tablet,19,66.5451
20/06/02,04:00:00,health,tablet,21,76.1472
20/06/02,04:00:00,medicare,tablet,13,77.9863
20/06/02,05:00:00,health,mobile,681,2816.7502
20/06/02,05:00:00,life,mobile,490,2019.7674
20/06/02,05:00:00,medicare,computer,151,1089.9474
20/06/02,05:00:00,life,tablet,34,106.6398
20/06/02,05:00:00,medicare,mobile,310,1414.5566
20/06/02,05:00:00,health,computer,232,1062.0516
20/06/02,05:00:00,health,tablet,42,171.7067
20/06/02,05:00:00,life,computer,101,754.8831
20/06/02,05:00:00,medicare,tablet,43,281.0057
20/06/02,06:00:00,medicare,mobile,445,2103.5643
20/06/02,06:00:00,life,mobile,564,2403.39240000001
20/06/02,06:00:00,health,mobile,754,3853.3424
20/06/02,06:00:00,medicare,tablet,71,340.1927
20/06/02,06:00:00,life,computer,169,1307.1065
20/06/02,06:00:00,medicare,computer,266,1856.8673
20/06/02,06:00:00,health,computer,473,2771.3372
20/06/02,06:00:00,health,tablet,44,249.6818
20/06/02,06:00:00,life,tablet,27,88.8132
20/06/02,07:00:00,life,mobile,783,3433.66810000001
20/06/02,07:00:00,health,mobile,845,4085.30050000001
20/06/02,07:00:00,medicare,computer,315,2535.9532
20/06/02,07:00:00,health,computer,553,3624.9707
20/06/02,07:00:00,life,tablet,43,162.7197
20/06/02,07:00:00,medicare,mobile,477,2237.664
20/06/02,07:00:00,medicare,tablet,83,459.836
20/06/02,07:00:00,life,computer,208,1821.4442
20/06/02,07:00:00,health,tablet,37,218.3988
20/06/02,08:00:00,health,mobile,974,4807.0657
20/06/02,08:00:00,life,mobile,713,2893.2453
20/06/02,08:00:00,health,computer,714,4656.3477
20/06/02,08:00:00,medicare,mobile,515,2426.5126
20/06/02,08:00:00,medicare,tablet,53,320.413
20/06/02,08:00:00,medicare,computer,369,2846.7782
20/06/02,08:00:00,life,computer,222,1779.4846
20/06/02,08:00:00,health,tablet,58,299.7476
20/06/02,08:00:00,life,tablet,63,248.8021
20/06/02,09:00:00,health,mobile,1087,5175.6196
20/06/02,09:00:00,medicare,mobile,549,2709.5627
20/06/02,09:00:00,health,tablet,67,340.0053
20/06/02,09:00:00,life,mobile,751,3263.6628
20/06/02,09:00:00,life,tablet,53,235.592
20/06/02,09:00:00,medicare,tablet,51,341.3758
20/06/02,09:00:00,life,computer,279,2252.4983
20/06/02,09:00:00,medicare,computer,360,2705.7217
20/06/02,09:00:00,health,computer,635,3864.5171
20/06/02,10:00:00,health,mobile,1118,5242.7033
20/06/02,10:00:00,life,mobile,793,3338.51340000001
20/06/02,10:00:00,medicare,computer,435,3312.8803
20/06/02,10:00:00,medicare,mobile,807,4127.69449999999
20/06/02,10:00:00,life,computer,201,1613.9541
20/06/02,10:00:00,health,computer,651,4037.4072
20/06/02,10:00:00,life,tablet,41,180.4508
20/06/02,10:00:00,health,tablet,72,390.6718
20/06/02,10:00:00,medicare,tablet,50,316.5456
20/06/02,11:00:00,medicare,mobile,809,4027.54310000001
20/06/02,11:00:00,health,mobile,1141,5406.09710000001
20/06/02,11:00:00,life,mobile,705,2874.44800000001
20/06/02,11:00:00,life,computer,312,2593.8184
20/06/02,11:00:00,health,computer,664,4111.5735
20/06/02,11:00:00,medicare,computer,436,3222.9592
20/06/02,11:00:00,health,tablet,74,361.1519
20/06/02,11:00:00,medicare,tablet,57,329.9816
20/06/02,11:00:00,life,tablet,61,336.7435
20/06/02,12:00:00,health,computer,751,4708.1792
20/06/02,12:00:00,health,mobile,1059,4941.32240000001
20/06/02,12:00:00,life,mobile,948,4652.50089999999
20/06/02,12:00:00,medicare,mobile,860,4275.7739
20/06/02,12:00:00,life,computer,398,2932.1567
20/06/02,12:00:00,medicare,computer,428,3087.6372
20/06/02,12:00:00,health,tablet,65,316.6784
20/06/02,12:00:00,medicare,tablet,70,387.1854
20/06/02,12:00:00,life,tablet,63,306.0612
20/06/02,13:00:00,medicare,mobile,901,4547.3903
20/06/02,13:00:00,health,mobile,997,4675.2444
20/06/02,13:00:00,health,computer,675,4050.0012
20/06/02,13:00:00,life,mobile,892,4198.73760000001
20/06/02,13:00:00,life,computer,343,2767.963
20/06/02,13:00:00,life,tablet,63,276.9565
20/06/02,13:00:00,medicare,computer,429,2850.4311
20/06/02,13:00:00,health,tablet,41,204.0534
20/06/02,13:00:00,medicare,tablet,66,385.1274
20/06/02,14:00:00,health,computer,643,3826.5819
20/06/02,14:00:00,life,computer,319,2521.7549
20/06/02,14:00:00,life,mobile,769,3472.7695
20/06/02,14:00:00,health,mobile,967,4304.2178
20/06/02,14:00:00,medicare,computer,457,3024.6152
20/06/02,14:00:00,medicare,mobile,746,3590.9405
20/06/02,14:00:00,medicare,tablet,94,519.934
20/06/02,14:00:00,life,tablet,46,209.4266
20/06/02,14:00:00,health,tablet,66,303.9359
20/06/02,15:00:00,life,computer,332,2219.6642
20/06/02,15:00:00,life,mobile,901,4127.1657
20/06/02,15:00:00,health,mobile,809,3456.0818
20/06/02,15:00:00,health,computer,519,2747.2917
20/06/02,15:00:00,medicare,mobile,615,2780.9937
20/06/02,15:00:00,medicare,computer,288,1868.0637
20/06/02,15:00:00,health,tablet,75,380.3115
20/06/02,15:00:00,medicare,tablet,54,232.2736
20/06/02,15:00:00,life,tablet,41,167.8321
20/06/02,15:00:00,life,other,1,6.21
20/06/02,16:00:00,health,computer,412,1844.9826
20/06/02,16:00:00,life,mobile,808,3996.0592
20/06/02,16:00:00,medicare,mobile,430,1976.2773
20/06/02,16:00:00,life,computer,305,2288.0409
20/06/02,16:00:00,health,mobile,766,2864.20650000001
20/06/02,16:00:00,life,tablet,44,180.9328
20/06/02,16:00:00,medicare,computer,175,1164.2451
20/06/02,16:00:00,health,tablet,68,257.4942
